homo (eV),lumo (eV),vertical_excitation_energy (eV),dipole_moment_norm_S0 (D),dipole_moment_norm_S1 (D),dipole_moment_norm_T1 (D),0-0_S1 (eV),0-0_T1 (eV),adiabatic_T1-S0 (kcal/mol),adiabatic_S1-S0 (kcal/mol),reduction_S0 (kcal/mol),oxidation_S0 (kcal/mol),lumo-homo (eV)
-5.680104765,-3.49856793,1.474700064,8.760297785,8.775340102,14.95998091,1.082247641,0.494502182,10.45241741,25.21519415,-93.43483508,118.0118526,2.181536835
-6.196576876,-4.012046788,1.541400067,16.21423702,15.3500589,25.69951397,1.176723564,0.555722903,12.83318656,27.39704294,-104.516644,131.5503593,2.184530088
-5.638743458,-3.453124915,1.627900071,8.066224918,7.897238997,21.60214896,1.23636615,0.524778468,11.27759175,28.10863815,-92.05808034,116.6545506,2.185618543
-6.421070812,-4.233275358,1.483000065,14.02490063,16.0252,23.55420001,1.088488891,0.53009277,11.77332386,24.86629914,-110.6135215,133.0099452,2.187795454
-5.944327325,-3.751361708,1.465800064,11.00224845,12.14402293,18.81762638,1.112592798,0.559096298,13.7982954,27.02242007,-97.56823686,125.5112126,2.192965617
-6.4384861,-4.244976254,1.444000063,1.886005822,1.141601621,6.926000211,1.086282209,0.532246552,12.3688299,25.97510755,-110.1855603,136.8145323,2.193509846
-5.618879146,-3.424825073,1.61180007,9.828144487,9.597546975,22.43841462,1.217922827,0.528314234,11.41438871,27.85637953,-91.46696686,114.2612313,2.194054073
-6.010723108,-3.816396921,1.657500072,15.45080391,15.38996965,26.93084946,1.299841162,0.611227872,13.77507757,30.71531053,-99.878725,128.4253644,2.194326187
-6.266510139,-4.072183952,1.412600062,8.556427322,7.586060124,24.95297624,0.951171625,0.778195306,18.53347832,22.90094096,-106.189583,132.7871795,2.194326187
-5.627314676,-3.431900033,1.495200065,3.4739,5.2516,9.579300008,1.192576093,0.523505166,12.00926724,28.16009388,-91.27306658,117.5355732,2.195414643
-6.295082094,-4.096674199,1.586200069,11.77245195,11.19318497,25.94650621,1.197805243,0.604792652,13.99784326,28.07287013,-106.363403,131.9400423,2.198407895
-5.996845301,-3.796804723,1.587400069,3.461560905,3.283085564,18.89015363,1.194758199,0.591799759,13.29691571,27.3035441,-99.14704951,126.3809401,2.200040578
